,x,Lineage
human1_lib3.final_cell_0357,ductal,Exocrine
human1_lib3.final_cell_0358,beta,Endocrine
human1_lib3.final_cell_0359,beta,Endocrine
human1_lib3.final_cell_0360,gamma,Endocrine
human1_lib3.final_cell_0361,alpha,Endocrine
human1_lib3.final_cell_0362,gamma,Endocrine
human1_lib3.final_cell_0363,beta,Endocrine
human1_lib3.final_cell_0364,beta,Endocrine
human1_lib3.final_cell_0365,alpha,Endocrine
human1_lib3.final_cell_0366,alpha,Endocrine
human1_lib3.final_cell_0367,ductal,Exocrine
human1_lib3.final_cell_0368,beta,Endocrine
human1_lib3.final_cell_0369,alpha,Endocrine
human1_lib3.final_cell_0370,beta,Endocrine
human1_lib3.final_cell_0371,delta,Endocrine
human1_lib3.final_cell_0372,ductal,Exocrine
human1_lib3.final_cell_0373,beta,Endocrine
human1_lib3.final_cell_0374,beta,Endocrine
human1_lib3.final_cell_0375,beta,Endocrine
human1_lib3.final_cell_0376,beta,Endocrine
human1_lib3.final_cell_0377,beta,Endocrine
human1_lib3.final_cell_0378,beta,Endocrine
human1_lib3.final_cell_0379,ductal,Exocrine
human1_lib3.final_cell_0380,beta,Endocrine
human1_lib3.final_cell_0381,alpha,Endocrine
human1_lib3.final_cell_0382,beta,Endocrine
human1_lib3.final_cell_0383,beta,Endocrine
human1_lib3.final_cell_0384,alpha,Endocrine
human1_lib3.final_cell_0385,acinar,Exocrine
human1_lib3.final_cell_0386,acinar,Exocrine
human1_lib3.final_cell_0387,beta,Endocrine
human1_lib3.final_cell_0388,beta,Endocrine
human1_lib3.final_cell_0389,beta,Endocrine
human1_lib3.final_cell_0390,alpha,Endocrine
human1_lib3.final_cell_0391,alpha,Endocrine
human1_lib3.final_cell_0392,alpha,Endocrine
human1_lib3.final_cell_0393,alpha,Endocrine
human1_lib3.final_cell_0394,beta,Endocrine
human1_lib3.final_cell_0395,alpha,Endocrine
human1_lib3.final_cell_0396,beta,Endocrine
human1_lib3.final_cell_0397,alpha,Endocrine
human1_lib3.final_cell_0398,beta,Endocrine
human1_lib3.final_cell_0399,beta,Endocrine
human1_lib3.final_cell_0400,beta,Endocrine
human1_lib3.final_cell_0401,alpha,Endocrine
human1_lib3.final_cell_0402,delta,Endocrine
human1_lib3.final_cell_0403,alpha,Endocrine
human1_lib3.final_cell_0404,beta,Endocrine
human1_lib3.final_cell_0405,beta,Endocrine
human1_lib3.final_cell_0406,beta,Endocrine
human1_lib3.final_cell_0407,alpha,Endocrine
human1_lib3.final_cell_0408,gamma,Endocrine
human1_lib3.final_cell_0409,acinar,Exocrine
human1_lib3.final_cell_0410,beta,Endocrine
human1_lib3.final_cell_0411,ductal,Exocrine
human1_lib3.final_cell_0412,delta,Endocrine
human1_lib3.final_cell_0413,beta,Endocrine
human1_lib3.final_cell_0414,ductal,Exocrine
human1_lib3.final_cell_0415,gamma,Endocrine
human1_lib3.final_cell_0416,beta,Endocrine
human1_lib3.final_cell_0417,quiescent_stellate,PSC
human1_lib3.final_cell_0418,ductal,Exocrine
human1_lib3.final_cell_0419,delta,Endocrine
human1_lib3.final_cell_0420,gamma,Endocrine
human1_lib3.final_cell_0421,beta,Endocrine
human1_lib3.final_cell_0422,beta,Endocrine
human1_lib3.final_cell_0423,beta,Endocrine
human1_lib3.final_cell_0424,gamma,Endocrine
human1_lib3.final_cell_0425,ductal,Exocrine
human1_lib3.final_cell_0426,alpha,Endocrine
human1_lib3.final_cell_0427,acinar,Exocrine
human1_lib3.final_cell_0428,ductal,Exocrine
human1_lib3.final_cell_0429,endothelial,endothelial
human1_lib3.final_cell_0430,alpha,Endocrine
human1_lib3.final_cell_0431,endothelial,endothelial
human1_lib3.final_cell_0432,beta,Endocrine
human1_lib3.final_cell_0433,beta,Endocrine
human1_lib3.final_cell_0434,beta,Endocrine
human1_lib3.final_cell_0435,beta,Endocrine
human1_lib3.final_cell_0436,alpha,Endocrine
human1_lib3.final_cell_0437,beta,Endocrine
human1_lib3.final_cell_0438,ductal,Exocrine
human1_lib3.final_cell_0439,ductal,Exocrine
human1_lib3.final_cell_0440,beta,Endocrine
human1_lib3.final_cell_0441,beta,Endocrine
human1_lib3.final_cell_0442,gamma,Endocrine
human1_lib3.final_cell_0443,beta,Endocrine
human1_lib3.final_cell_0444,quiescent_stellate,PSC
human1_lib3.final_cell_0445,ductal,Exocrine
human1_lib3.final_cell_0446,beta,Endocrine
human1_lib3.final_cell_0447,acinar,Exocrine
human1_lib3.final_cell_0448,ductal,Exocrine
human1_lib3.final_cell_0449,endothelial,endothelial
human1_lib3.final_cell_0450,acinar,Exocrine
human1_lib3.final_cell_0451,gamma,Endocrine
human1_lib3.final_cell_0452,beta,Endocrine
human1_lib3.final_cell_0453,beta,Endocrine
human1_lib3.final_cell_0454,quiescent_stellate,PSC
human1_lib3.final_cell_0455,beta,Endocrine
human1_lib3.final_cell_0456,beta,Endocrine
human1_lib3.final_cell_0457,epsilon,Endocrine
human1_lib3.final_cell_0458,beta,Endocrine
human1_lib3.final_cell_0459,alpha,Endocrine
human1_lib3.final_cell_0460,alpha,Endocrine
human1_lib3.final_cell_0461,delta,Endocrine
human1_lib3.final_cell_0462,beta,Endocrine
human1_lib3.final_cell_0463,epsilon,Endocrine
human1_lib3.final_cell_0464,beta,Endocrine
human1_lib3.final_cell_0465,alpha,Endocrine
human1_lib3.final_cell_0466,beta,Endocrine
human1_lib3.final_cell_0467,beta,Endocrine
human1_lib3.final_cell_0468,gamma,Endocrine
human1_lib3.final_cell_0469,acinar,Exocrine
human1_lib3.final_cell_0470,beta,Endocrine
human1_lib3.final_cell_0471,alpha,Endocrine
human1_lib3.final_cell_0472,beta,Endocrine
human1_lib3.final_cell_0473,alpha,Endocrine
human1_lib3.final_cell_0474,ductal,Exocrine
human1_lib3.final_cell_0475,alpha,Endocrine
human1_lib3.final_cell_0476,beta,Endocrine
human1_lib3.final_cell_0477,beta,Endocrine
human1_lib3.final_cell_0478,gamma,Endocrine
human1_lib3.final_cell_0479,beta,Endocrine
human1_lib3.final_cell_0480,beta,Endocrine
human1_lib3.final_cell_0481,delta,Endocrine
human1_lib3.final_cell_0482,delta,Endocrine
human1_lib3.final_cell_0483,delta,Endocrine
human1_lib3.final_cell_0484,quiescent_stellate,PSC
human1_lib3.final_cell_0485,beta,Endocrine
human1_lib3.final_cell_0486,beta,Endocrine
human1_lib3.final_cell_0487,alpha,Endocrine
human1_lib3.final_cell_0488,beta,Endocrine
human1_lib3.final_cell_0489,alpha,Endocrine
human1_lib3.final_cell_0490,alpha,Endocrine
human1_lib3.final_cell_0491,beta,Endocrine
human1_lib3.final_cell_0492,beta,Endocrine
human1_lib3.final_cell_0493,beta,Endocrine
human1_lib3.final_cell_0494,alpha,Endocrine
human1_lib3.final_cell_0495,beta,Endocrine
human1_lib3.final_cell_0496,beta,Endocrine
human1_lib3.final_cell_0497,quiescent_stellate,PSC
human1_lib3.final_cell_0498,alpha,Endocrine
human1_lib3.final_cell_0499,endothelial,endothelial
human1_lib3.final_cell_0500,gamma,Endocrine
human1_lib3.final_cell_0501,beta,Endocrine
human1_lib3.final_cell_0502,beta,Endocrine
human1_lib3.final_cell_0503,quiescent_stellate,PSC
human1_lib3.final_cell_0504,beta,Endocrine
human1_lib3.final_cell_0505,alpha,Endocrine
human1_lib3.final_cell_0506,delta,Endocrine
human1_lib3.final_cell_0507,beta,Endocrine
human1_lib3.final_cell_0508,acinar,Exocrine
human1_lib3.final_cell_0509,beta,Endocrine
human1_lib3.final_cell_0510,endothelial,endothelial
human1_lib3.final_cell_0511,endothelial,endothelial
human1_lib3.final_cell_0512,beta,Endocrine
human1_lib3.final_cell_0513,beta,Endocrine
human1_lib3.final_cell_0514,alpha,Endocrine
human1_lib3.final_cell_0515,beta,Endocrine
human1_lib3.final_cell_0516,mast,Immune
human1_lib3.final_cell_0517,beta,Endocrine
human1_lib3.final_cell_0518,alpha,Endocrine
human1_lib3.final_cell_0519,endothelial,endothelial
human1_lib3.final_cell_0520,beta,Endocrine
human1_lib3.final_cell_0521,beta,Endocrine
human1_lib3.final_cell_0522,beta,Endocrine
human1_lib3.final_cell_0523,endothelial,endothelial
human1_lib3.final_cell_0524,alpha,Endocrine
human1_lib3.final_cell_0525,beta,Endocrine
human1_lib3.final_cell_0526,beta,Endocrine
human1_lib3.final_cell_0527,beta,Endocrine
human1_lib3.final_cell_0528,beta,Endocrine
human1_lib3.final_cell_0529,alpha,Endocrine
human1_lib3.final_cell_0530,mast,Immune
human1_lib3.final_cell_0531,beta,Endocrine
human1_lib3.final_cell_0532,epsilon,Endocrine
human1_lib3.final_cell_0533,endothelial,endothelial
human1_lib3.final_cell_0534,quiescent_stellate,PSC
human1_lib3.final_cell_0535,alpha,Endocrine
human1_lib3.final_cell_0536,alpha,Endocrine
human1_lib3.final_cell_0537,beta,Endocrine
human1_lib3.final_cell_0538,beta,Endocrine
human1_lib3.final_cell_0539,acinar,Exocrine
human1_lib3.final_cell_0540,delta,Endocrine
human1_lib3.final_cell_0541,acinar,Exocrine
human1_lib3.final_cell_0542,beta,Endocrine
human1_lib3.final_cell_0543,beta,Endocrine
human1_lib3.final_cell_0544,endothelial,endothelial
human1_lib3.final_cell_0545,beta,Endocrine
human1_lib3.final_cell_0546,macrophage,Immune
human1_lib3.final_cell_0547,acinar,Exocrine
human1_lib3.final_cell_0548,quiescent_stellate,PSC
human1_lib3.final_cell_0549,beta,Endocrine
human1_lib3.final_cell_0550,beta,Endocrine
human1_lib3.final_cell_0551,beta,Endocrine
human1_lib3.final_cell_0552,endothelial,endothelial
human1_lib3.final_cell_0553,beta,Endocrine
human1_lib3.final_cell_0554,beta,Endocrine
human1_lib3.final_cell_0555,ductal,Exocrine
human1_lib3.final_cell_0556,beta,Endocrine
human1_lib3.final_cell_0557,beta,Endocrine
human1_lib3.final_cell_0558,quiescent_stellate,PSC
human1_lib3.final_cell_0559,beta,Endocrine
human1_lib3.final_cell_0560,acinar,Exocrine
human1_lib3.final_cell_0561,beta,Endocrine
human1_lib3.final_cell_0562,delta,Endocrine
human1_lib3.final_cell_0563,beta,Endocrine
human1_lib3.final_cell_0564,beta,Endocrine
human1_lib3.final_cell_0565,beta,Endocrine
human1_lib3.final_cell_0566,beta,Endocrine
human1_lib3.final_cell_0567,quiescent_stellate,PSC
human1_lib3.final_cell_0568,alpha,Endocrine
human1_lib3.final_cell_0569,endothelial,endothelial
human1_lib3.final_cell_0570,beta,Endocrine
human1_lib3.final_cell_0571,delta,Endocrine
human1_lib3.final_cell_0572,gamma,Endocrine
human1_lib3.final_cell_0573,beta,Endocrine
human1_lib3.final_cell_0574,quiescent_stellate,PSC
human1_lib3.final_cell_0575,endothelial,endothelial
human1_lib3.final_cell_0576,alpha,Endocrine
human1_lib3.final_cell_0577,beta,Endocrine
human1_lib3.final_cell_0578,ductal,Exocrine
human1_lib3.final_cell_0579,beta,Endocrine
human1_lib3.final_cell_0580,beta,Endocrine
human1_lib3.final_cell_0581,beta,Endocrine
human1_lib3.final_cell_0582,quiescent_stellate,PSC
human1_lib3.final_cell_0583,beta,Endocrine
human1_lib3.final_cell_0584,epsilon,Endocrine
human1_lib3.final_cell_0585,beta,Endocrine
human1_lib3.final_cell_0586,beta,Endocrine
human1_lib3.final_cell_0587,alpha,Endocrine
human1_lib3.final_cell_0588,beta,Endocrine
human1_lib3.final_cell_0589,endothelial,endothelial
human1_lib3.final_cell_0590,endothelial,endothelial
human1_lib3.final_cell_0591,quiescent_stellate,PSC
human1_lib3.final_cell_0592,beta,Endocrine
human1_lib3.final_cell_0593,beta,Endocrine
human1_lib3.final_cell_0594,epsilon,Endocrine
human1_lib3.final_cell_0595,quiescent_stellate,PSC
human1_lib3.final_cell_0596,beta,Endocrine
human1_lib3.final_cell_0597,mast,Immune
human1_lib3.final_cell_0598,ductal,Exocrine
human1_lib3.final_cell_0599,alpha,Endocrine
human1_lib3.final_cell_0600,acinar,Exocrine
human1_lib3.final_cell_0601,acinar,Exocrine
human1_lib3.final_cell_0602,endothelial,endothelial
human1_lib3.final_cell_0603,ductal,Exocrine
human1_lib3.final_cell_0604,endothelial,endothelial
human1_lib3.final_cell_0605,alpha,Endocrine
human1_lib3.final_cell_0606,delta,Endocrine
human1_lib3.final_cell_0607,beta,Endocrine
human1_lib3.final_cell_0608,beta,Endocrine
human1_lib3.final_cell_0609,beta,Endocrine
human1_lib3.final_cell_0610,ductal,Exocrine
human1_lib3.final_cell_0611,quiescent_stellate,PSC
human1_lib3.final_cell_0612,beta,Endocrine
human1_lib3.final_cell_0613,macrophage,Immune
human1_lib3.final_cell_0614,delta,Endocrine
human1_lib3.final_cell_0615,endothelial,endothelial
human1_lib3.final_cell_0616,alpha,Endocrine
human1_lib3.final_cell_0617,beta,Endocrine
human1_lib3.final_cell_0618,endothelial,endothelial
human1_lib3.final_cell_0619,beta,Endocrine
human1_lib3.final_cell_0620,beta,Endocrine
human1_lib3.final_cell_0621,endothelial,endothelial
human1_lib3.final_cell_0622,delta,Endocrine
human1_lib3.final_cell_0623,acinar,Exocrine
human1_lib3.final_cell_0624,acinar,Exocrine
human1_lib3.final_cell_0625,endothelial,endothelial
human1_lib3.final_cell_0626,beta,Endocrine
human1_lib3.final_cell_0627,endothelial,endothelial
human1_lib3.final_cell_0628,acinar,Exocrine
human1_lib3.final_cell_0629,beta,Endocrine
human1_lib3.final_cell_0630,delta,Endocrine
human1_lib3.final_cell_0631,quiescent_stellate,PSC
human1_lib3.final_cell_0632,quiescent_stellate,PSC
human1_lib3.final_cell_0633,beta,Endocrine
human1_lib3.final_cell_0634,beta,Endocrine
human1_lib3.final_cell_0635,quiescent_stellate,PSC
human1_lib3.final_cell_0636,alpha,Endocrine
human1_lib3.final_cell_0637,quiescent_stellate,PSC
human1_lib3.final_cell_0638,quiescent_stellate,PSC
human1_lib3.final_cell_0639,beta,Endocrine
human1_lib3.final_cell_0640,quiescent_stellate,PSC
human1_lib3.final_cell_0641,schwann,schwann
human1_lib3.final_cell_0642,beta,Endocrine
human1_lib3.final_cell_0643,beta,Endocrine
human1_lib3.final_cell_0644,beta,Endocrine
human1_lib3.final_cell_0645,beta,Endocrine
human1_lib3.final_cell_0646,beta,Endocrine
human1_lib3.final_cell_0647,beta,Endocrine
human1_lib3.final_cell_0648,beta,Endocrine
human1_lib3.final_cell_0649,endothelial,endothelial
human1_lib3.final_cell_0650,ductal,Exocrine
human1_lib3.final_cell_0651,beta,Endocrine
human1_lib3.final_cell_0652,beta,Endocrine
human1_lib3.final_cell_0653,beta,Endocrine
human1_lib3.final_cell_0654,beta,Endocrine
human1_lib3.final_cell_0655,alpha,Endocrine
human1_lib3.final_cell_0656,quiescent_stellate,PSC
human1_lib3.final_cell_0657,quiescent_stellate,PSC
human1_lib3.final_cell_0658,beta,Endocrine
human1_lib3.final_cell_0659,beta,Endocrine
human1_lib3.final_cell_0660,alpha,Endocrine
human1_lib3.final_cell_0661,ductal,Exocrine
human1_lib3.final_cell_0662,quiescent_stellate,PSC
human1_lib3.final_cell_0663,beta,Endocrine
human1_lib3.final_cell_0664,endothelial,endothelial
human1_lib3.final_cell_0665,delta,Endocrine
human1_lib3.final_cell_0666,beta,Endocrine
human1_lib3.final_cell_0667,beta,Endocrine
human1_lib3.final_cell_0668,alpha,Endocrine
human1_lib3.final_cell_0669,beta,Endocrine
human1_lib3.final_cell_0670,beta,Endocrine
human1_lib3.final_cell_0671,endothelial,endothelial
human1_lib3.final_cell_0672,beta,Endocrine
human1_lib3.final_cell_0673,endothelial,endothelial
human1_lib3.final_cell_0674,alpha,Endocrine
human1_lib3.final_cell_0675,quiescent_stellate,PSC
human1_lib3.final_cell_0676,endothelial,endothelial
human1_lib3.final_cell_0677,alpha,Endocrine
human1_lib3.final_cell_0678,alpha,Endocrine
human1_lib3.final_cell_0679,ductal,Exocrine
human1_lib3.final_cell_0680,quiescent_stellate,PSC
human1_lib3.final_cell_0681,endothelial,endothelial
human1_lib3.final_cell_0682,beta,Endocrine
human1_lib3.final_cell_0683,gamma,Endocrine
human1_lib3.final_cell_0684,epsilon,Endocrine
human1_lib3.final_cell_0685,activated_stellate,PSC
human1_lib3.final_cell_0686,alpha,Endocrine
human1_lib3.final_cell_0687,activated_stellate,PSC
human1_lib3.final_cell_0688,beta,Endocrine
human1_lib3.final_cell_0689,beta,Endocrine
human1_lib3.final_cell_0690,mast,Immune
human1_lib3.final_cell_0691,activated_stellate,PSC
human1_lib3.final_cell_0692,epsilon,Endocrine
human1_lib3.final_cell_0693,quiescent_stellate,PSC
human1_lib3.final_cell_0694,endothelial,endothelial
human1_lib3.final_cell_0695,gamma,Endocrine
human1_lib3.final_cell_0696,beta,Endocrine
human1_lib3.final_cell_0697,quiescent_stellate,PSC
human1_lib3.final_cell_0698,quiescent_stellate,PSC
human1_lib3.final_cell_0699,alpha,Endocrine
human1_lib3.final_cell_0700,beta,Endocrine
human1_lib3.final_cell_0701,beta,Endocrine
human1_lib3.final_cell_0702,beta,Endocrine
human1_lib3.final_cell_0703,beta,Endocrine
human1_lib3.final_cell_0704,t_cell,Immune
human1_lib3.final_cell_0705,beta,Endocrine
human1_lib3.final_cell_0706,beta,Endocrine
human1_lib3.final_cell_0707,beta,Endocrine
human1_lib3.final_cell_0708,alpha,Endocrine
human1_lib3.final_cell_0709,beta,Endocrine
human1_lib3.final_cell_0710,endothelial,endothelial
human1_lib3.final_cell_0711,endothelial,endothelial
human1_lib3.final_cell_0712,mast,Immune
human1_lib3.final_cell_0713,beta,Endocrine
human1_lib3.final_cell_0714,quiescent_stellate,PSC
human1_lib3.final_cell_0715,beta,Endocrine
human1_lib3.final_cell_0716,beta,Endocrine
human1_lib3.final_cell_0717,beta,Endocrine
human1_lib3.final_cell_0718,beta,Endocrine
human1_lib3.final_cell_0719,beta,Endocrine
human1_lib3.final_cell_0720,endothelial,endothelial
human1_lib3.final_cell_0721,t_cell,Immune
human1_lib3.final_cell_0722,ductal,Exocrine
human1_lib3.final_cell_0723,quiescent_stellate,PSC
human1_lib3.final_cell_0724,beta,Endocrine
human1_lib3.final_cell_0725,beta,Endocrine
human1_lib3.final_cell_0726,quiescent_stellate,PSC
human1_lib3.final_cell_0727,quiescent_stellate,PSC
human1_lib3.final_cell_0728,quiescent_stellate,PSC
human1_lib3.final_cell_0729,beta,Endocrine
human1_lib3.final_cell_0730,beta,Endocrine
human1_lib3.final_cell_0731,alpha,Endocrine
human1_lib3.final_cell_0732,beta,Endocrine
human1_lib3.final_cell_0733,beta,Endocrine
human1_lib3.final_cell_0734,beta,Endocrine
human1_lib3.final_cell_0735,alpha,Endocrine
human1_lib3.final_cell_0736,endothelial,endothelial
human1_lib3.final_cell_0737,beta,Endocrine
human1_lib3.final_cell_0738,endothelial,endothelial
human1_lib3.final_cell_0739,beta,Endocrine
human1_lib3.final_cell_0740,quiescent_stellate,PSC
human2_lib1.final_cell_0001,delta,Endocrine
human2_lib1.final_cell_0002,delta,Endocrine
human2_lib1.final_cell_0003,alpha,Endocrine
human2_lib1.final_cell_0004,delta,Endocrine
human2_lib1.final_cell_0005,delta,Endocrine
human2_lib1.final_cell_0006,delta,Endocrine
human2_lib1.final_cell_0007,delta,Endocrine
human2_lib1.final_cell_0008,delta,Endocrine
human2_lib1.final_cell_0009,activated_stellate,PSC
human2_lib1.final_cell_0010,ductal,Exocrine
human2_lib1.final_cell_0011,delta,Endocrine
human2_lib1.final_cell_0012,delta,Endocrine
human2_lib1.final_cell_0013,alpha,Endocrine
human2_lib1.final_cell_0014,delta,Endocrine
human2_lib1.final_cell_0015,alpha,Endocrine
human2_lib1.final_cell_0016,alpha,Endocrine
human2_lib1.final_cell_0017,beta,Endocrine
human2_lib1.final_cell_0018,ductal,Exocrine
human2_lib1.final_cell_0019,alpha,Endocrine
human2_lib1.final_cell_0020,alpha,Endocrine
human2_lib1.final_cell_0021,ductal,Exocrine
human2_lib1.final_cell_0022,alpha,Endocrine
human2_lib1.final_cell_0023,alpha,Endocrine
human2_lib1.final_cell_0024,delta,Endocrine
human2_lib1.final_cell_0025,ductal,Exocrine
human2_lib1.final_cell_0026,alpha,Endocrine
human2_lib1.final_cell_0027,delta,Endocrine
human2_lib1.final_cell_0028,ductal,Exocrine
human2_lib1.final_cell_0029,ductal,Exocrine
human2_lib1.final_cell_0030,ductal,Exocrine
human2_lib1.final_cell_0031,activated_stellate,PSC
human2_lib1.final_cell_0032,ductal,Exocrine
human2_lib1.final_cell_0033,alpha,Endocrine
human2_lib1.final_cell_0034,delta,Endocrine
human2_lib1.final_cell_0035,delta,Endocrine
human2_lib1.final_cell_0036,delta,Endocrine
human2_lib1.final_cell_0037,alpha,Endocrine
human2_lib1.final_cell_0038,ductal,Exocrine
human2_lib1.final_cell_0039,alpha,Endocrine
human2_lib1.final_cell_0040,macrophage,Immune
human2_lib1.final_cell_0041,alpha,Endocrine
human2_lib1.final_cell_0042,delta,Endocrine
human2_lib1.final_cell_0043,ductal,Exocrine
human2_lib1.final_cell_0044,delta,Endocrine
human2_lib1.final_cell_0045,alpha,Endocrine
human2_lib1.final_cell_0046,alpha,Endocrine
human2_lib1.final_cell_0047,alpha,Endocrine
human2_lib1.final_cell_0048,alpha,Endocrine
human2_lib1.final_cell_0049,ductal,Exocrine
human2_lib1.final_cell_0050,activated_stellate,PSC
human2_lib1.final_cell_0051,ductal,Exocrine
human2_lib1.final_cell_0052,alpha,Endocrine
human2_lib1.final_cell_0053,quiescent_stellate,PSC
human2_lib1.final_cell_0054,beta,Endocrine
human2_lib1.final_cell_0055,alpha,Endocrine
human2_lib1.final_cell_0056,beta,Endocrine
human2_lib1.final_cell_0057,beta,Endocrine
human2_lib1.final_cell_0058,beta,Endocrine
human2_lib1.final_cell_0059,alpha,Endocrine
human2_lib1.final_cell_0060,delta,Endocrine
human2_lib1.final_cell_0061,delta,Endocrine
human2_lib1.final_cell_0062,alpha,Endocrine
human2_lib1.final_cell_0063,beta,Endocrine
human2_lib1.final_cell_0064,alpha,Endocrine
human2_lib1.final_cell_0065,alpha,Endocrine
human2_lib1.final_cell_0066,alpha,Endocrine
human2_lib1.final_cell_0067,ductal,Exocrine
human2_lib1.final_cell_0068,beta,Endocrine
human2_lib1.final_cell_0069,ductal,Exocrine
human2_lib1.final_cell_0070,activated_stellate,PSC
human2_lib1.final_cell_0071,ductal,Exocrine
human2_lib1.final_cell_0072,alpha,Endocrine
human2_lib1.final_cell_0073,beta,Endocrine
human2_lib1.final_cell_0074,ductal,Exocrine
human2_lib1.final_cell_0075,alpha,Endocrine
human2_lib1.final_cell_0076,beta,Endocrine
human2_lib1.final_cell_0077,alpha,Endocrine
human2_lib1.final_cell_0078,ductal,Exocrine
human2_lib1.final_cell_0079,alpha,Endocrine
human2_lib1.final_cell_0080,beta,Endocrine
human2_lib1.final_cell_0081,alpha,Endocrine
human2_lib1.final_cell_0082,ductal,Exocrine
human2_lib1.final_cell_0083,ductal,Exocrine
human2_lib1.final_cell_0084,alpha,Endocrine
human2_lib1.final_cell_0085,alpha,Endocrine
human2_lib1.final_cell_0086,ductal,Exocrine
human2_lib1.final_cell_0087,alpha,Endocrine
human2_lib1.final_cell_0088,alpha,Endocrine
human2_lib1.final_cell_0089,alpha,Endocrine
human2_lib1.final_cell_0090,beta,Endocrine
human2_lib1.final_cell_0091,alpha,Endocrine
human2_lib1.final_cell_0092,beta,Endocrine
human2_lib1.final_cell_0093,alpha,Endocrine
human2_lib1.final_cell_0094,ductal,Exocrine
human2_lib1.final_cell_0095,delta,Endocrine
human2_lib1.final_cell_0096,gamma,Endocrine
human2_lib1.final_cell_0097,alpha,Endocrine
human2_lib1.final_cell_0098,ductal,Exocrine
human2_lib1.final_cell_0099,alpha,Endocrine
human2_lib1.final_cell_0100,beta,Endocrine
human2_lib1.final_cell_0101,beta,Endocrine
human2_lib1.final_cell_0102,gamma,Endocrine
human2_lib1.final_cell_0103,alpha,Endocrine
human2_lib1.final_cell_0104,delta,Endocrine
human2_lib1.final_cell_0105,beta,Endocrine
human2_lib1.final_cell_0106,alpha,Endocrine
human2_lib1.final_cell_0107,beta,Endocrine
human2_lib1.final_cell_0108,alpha,Endocrine
human2_lib1.final_cell_0109,alpha,Endocrine
human2_lib1.final_cell_0110,alpha,Endocrine
human2_lib1.final_cell_0111,beta,Endocrine
human2_lib1.final_cell_0112,ductal,Exocrine
human2_lib1.final_cell_0113,ductal,Exocrine
human2_lib1.final_cell_0114,alpha,Endocrine
human2_lib1.final_cell_0115,beta,Endocrine
human2_lib1.final_cell_0116,alpha,Endocrine
human2_lib1.final_cell_0117,ductal,Exocrine
human2_lib1.final_cell_0118,alpha,Endocrine
human2_lib1.final_cell_0119,beta,Endocrine
human2_lib1.final_cell_0120,alpha,Endocrine
human2_lib1.final_cell_0121,ductal,Exocrine
human2_lib1.final_cell_0122,alpha,Endocrine
human2_lib1.final_cell_0123,delta,Endocrine
human2_lib1.final_cell_0124,beta,Endocrine
human2_lib1.final_cell_0125,ductal,Exocrine
human2_lib1.final_cell_0126,beta,Endocrine
human2_lib1.final_cell_0127,alpha,Endocrine
human2_lib1.final_cell_0128,beta,Endocrine
human2_lib1.final_cell_0129,ductal,Exocrine
human2_lib1.final_cell_0130,alpha,Endocrine
human2_lib1.final_cell_0131,alpha,Endocrine
human2_lib1.final_cell_0132,alpha,Endocrine
human2_lib1.final_cell_0133,alpha,Endocrine
human2_lib1.final_cell_0134,ductal,Exocrine
human2_lib1.final_cell_0135,alpha,Endocrine
human2_lib1.final_cell_0136,ductal,Exocrine
human2_lib1.final_cell_0137,beta,Endocrine
human2_lib1.final_cell_0138,ductal,Exocrine
human2_lib1.final_cell_0139,beta,Endocrine
human2_lib1.final_cell_0140,alpha,Endocrine
human2_lib1.final_cell_0141,beta,Endocrine
human2_lib1.final_cell_0142,alpha,Endocrine
human2_lib1.final_cell_0143,activated_stellate,PSC
human2_lib1.final_cell_0144,alpha,Endocrine
human2_lib1.final_cell_0145,beta,Endocrine
human2_lib1.final_cell_0146,alpha,Endocrine
human2_lib1.final_cell_0147,alpha,Endocrine
human2_lib1.final_cell_0148,alpha,Endocrine
human2_lib1.final_cell_0149,alpha,Endocrine
human2_lib1.final_cell_0150,beta,Endocrine
human2_lib1.final_cell_0151,ductal,Exocrine
human2_lib1.final_cell_0152,activated_stellate,PSC
human2_lib1.final_cell_0153,alpha,Endocrine
human2_lib1.final_cell_0154,alpha,Endocrine
human2_lib1.final_cell_0155,ductal,Exocrine
human2_lib1.final_cell_0156,delta,Endocrine
human2_lib1.final_cell_0157,alpha,Endocrine
human2_lib1.final_cell_0158,alpha,Endocrine
human2_lib1.final_cell_0159,ductal,Exocrine
human2_lib1.final_cell_0160,ductal,Exocrine
human2_lib1.final_cell_0161,alpha,Endocrine
human2_lib1.final_cell_0162,alpha,Endocrine
human2_lib1.final_cell_0163,alpha,Endocrine
human2_lib1.final_cell_0164,alpha,Endocrine
human2_lib1.final_cell_0165,activated_stellate,PSC
human2_lib1.final_cell_0166,alpha,Endocrine
human2_lib1.final_cell_0167,macrophage,Immune
human2_lib1.final_cell_0168,alpha,Endocrine
human2_lib1.final_cell_0169,delta,Endocrine
human2_lib1.final_cell_0170,alpha,Endocrine
human2_lib1.final_cell_0171,activated_stellate,PSC
human2_lib1.final_cell_0172,alpha,Endocrine
human2_lib1.final_cell_0173,delta,Endocrine
human2_lib1.final_cell_0174,alpha,Endocrine
human2_lib1.final_cell_0175,alpha,Endocrine
human2_lib1.final_cell_0176,alpha,Endocrine
human2_lib1.final_cell_0177,ductal,Exocrine
human2_lib1.final_cell_0178,alpha,Endocrine
human2_lib1.final_cell_0179,alpha,Endocrine
human2_lib1.final_cell_0180,alpha,Endocrine
human2_lib1.final_cell_0181,ductal,Exocrine
